TransactionTypeID,Transaction,TransactionCompany,TransactionGroup,TransactionTypeGroup,TransactionTypeSubGroup,TransactionName,Additive,IsReversal
{0840764e-0450-403e-a3d7-d53568f13b4b},Money3\Fee\Reversal\Loan\Establishment Fee - Reversal,Money3,,,,Establishment Fee - Reversal,1,Reversal
{09cd3218-dd59-44ae-8fd3-c8f45bc501d5},Loan\Reverse\Payment\Dishonor - Payment,Money3,,,,Dishonor Payment,1,Transaction
{1d6067dc-7ba1-44d8-9b4b-cce76104549f},Cash\Cash Out,Money3,,,,Cash Out,0,Transaction
{35a34462-1ccb-4eb0-9ac6-b1eb9ff881f8},Cash\Cash In,Money3,,,,Cash In,0,Transaction
{49f78202-9813-40f4-a25a-00678301c3b1},Money3\Rental\Lease Abandoned - Vehicle Returned - REVERSAL,Money3,,,,Lease Abandoned - Vehicle Returned - REVERSAL,1,Reversal
{5015f0a3-8759-462c-ae67-16796e541ab2},Money3\Fee\Rentals\Whitegoods Penalty Fee,Money3,,,,Penatlty Fee,1,Transaction
{8c250320-2b75-4174-b5d0-78d3ed2892e4},Cash\Transfer Out,Money3,,,,Transfer Out,1,Transaction
{2058fce5-e25f-4aa8-b2f0-1ad0474a1ac0},Loan\Schedule\Interest (DB),Money3,,,,Schedule Interest,0,Transaction
{3fdb41a1-c23f-4173-8fca-d2374962306e},Money3\Fee\Loan\Monthly Account Fee - Payment,Money3,,,,Monthly Account Fee - Payment,1,Transaction
{5c9fa965-8a82-4167-ba6e-0085e35ad597},Money3\Fee\Reversal\ERD Reversal,Money3,Loan Fee,Fee,Reversal,Reversal - ERD Discount,1,Reversal
{67440f09-f0ef-4371-9613-f58645bef916},Money3\Rental\Excess Charge,Money3,,,,Excess Charge,1,Transaction
{6c5b1412-87bb-4fa6-bab9-948bd56c9258},Loan\Reverse\Fee\Deferred Establishment Fee Reversal,Money3,Loan Fee,Fee,Reversal,Deferred Establishment Fee Reversal,1,Reversal
{9cf0ba93-92e0-4f01-b45c-ad13e219654b},Money3\MoneyGram\Reversal\Fee (Reversal),Money3,,,,Fee - Reversal,1,Reversal
{19251fb5-5a82-4abf-bfc9-c6ee49cf34a4},Cash\Transfer In,Money3,,,,Transfer In,1,Transaction
{1d33627b-f8f8-4268-99b4-e94146b6a7bf},Money3\Fee\Reversal\Additional Monthly Fees,Money3,,,,Additional Monthly Fees,1,Reversal
{369d0352-6702-44dc-86a5-aa1e63d43a28},Money3\LOC\Payment\Payment (Direct Debit) Capitalise next effective dates,Money3,,,,Payment (Direct Debit),1,Transaction
{55c6be02-2fee-43fe-b09b-a7b7d56bda68},Money3\MoneyGram\Reversal\Amount Sent - Reversal,Money3,,,,Amount Sent - Reversal,1,Reversal
{7a2174ac-fbc7-445a-b0f0-6d7478fa4e53},Money3\Loan\Schedule\Instalment Due (Actual),Money3,,,,Instalment Due (Actual) increase Arrears,0,Transaction
{ae41de08-ec8c-4b96-a4b2-025043c77fed},Money3\Rental\Adjust Down - Initial Rental Amount - REVERSAL,Money3,,,,Adjust - Initial Rental Amount - REVERSAL,1,Reversal
{c76d3e8d-782a-45b3-b95d-a0214fcc9c77},Money3\MoneyGram\Disbursement\Amount Received,Money3,,,,Amount Received,1,Transaction
{cca0ab8d-987a-46f1-88c5-9f8746252f07},Money3\MoneyGram\Reversal\Cash (Sent) - Reversal,Money3,,,,Total Amount Collected (Cash Disbursement) - Reversal,1,Reversal
